date,passengers_thousands,ma_12,mom_pct,yoy_pct,year,month,is_change_outlier
1949-01-01,112,,,,1949,1,False
1949-02-01,118,,5.35714285714286,,1949,2,False
1949-03-01,132,,11.864406779661007,,1949,3,False
1949-04-01,129,,-2.2727272727272707,,1949,4,False
1949-05-01,121,,-6.2015503875969,,1949,5,False
1949-06-01,135,,11.570247933884303,,1949,6,False
1949-07-01,148,,9.629629629629633,,1949,7,False
1949-08-01,148,,0.0,,1949,8,False
1949-09-01,136,,-8.108108108108103,,1949,9,False
1949-10-01,119,,-12.5,,1949,10,False
1949-11-01,104,,-12.605042016806722,,1949,11,False
1949-12-01,118,126.66666666666667,13.461538461538458,,1949,12,False
1950-01-01,115,126.91666666666667,-2.5423728813559365,2.678571428571419,1950,1,False
1950-02-01,126,127.58333333333333,9.565217391304337,6.779661016949157,1950,2,False
1950-03-01,141,128.33333333333334,11.904761904761907,6.818181818181812,1950,3,False
1950-04-01,135,128.83333333333334,-4.255319148936165,4.651162790697683,1950,4,False
1950-05-01,125,129.16666666666666,-7.4074074074074066,3.305785123966931,1950,5,False
1950-06-01,149,130.33333333333334,19.199999999999996,10.370370370370363,1950,6,False
1950-07-01,170,132.16666666666666,14.093959731543615,14.864864864864868,1950,7,False
1950-08-01,170,134.0,0.0,14.864864864864868,1950,8,False
1950-09-01,158,135.83333333333334,-7.058823529411762,16.176470588235304,1950,9,False
1950-10-01,133,137.0,-15.822784810126578,11.764705882352944,1950,10,False
1950-11-01,114,137.83333333333334,-14.28571428571429,9.615384615384626,1950,11,False
1950-12-01,140,139.66666666666666,22.807017543859654,18.644067796610166,1950,12,False
1951-01-01,145,142.16666666666666,3.571428571428581,26.086956521739136,1951,1,False
1951-02-01,150,144.16666666666666,3.4482758620689724,19.047619047619047,1951,2,False
1951-03-01,178,147.25,18.666666666666675,26.241134751773053,1951,3,False
1951-04-01,163,149.58333333333334,-8.42696629213483,20.740740740740748,1951,4,False
1951-05-01,172,153.5,5.521472392638027,37.59999999999999,1951,5,False
1951-06-01,178,155.91666666666666,3.488372093023262,19.463087248322154,1951,6,False
1951-07-01,199,158.33333333333334,11.79775280898876,17.05882352941177,1951,7,False
1951-08-01,199,160.75,0.0,17.05882352941177,1951,8,False
1951-09-01,184,162.91666666666666,-7.537688442211055,16.455696202531644,1951,9,False
1951-10-01,162,165.33333333333334,-11.956521739130432,21.80451127819549,1951,10,False
